Timestamp,Full name:,Email address:,Have you ever participated in a focus group?,"If you have participated in a focus group, what kind of focus group?",Do you hear well?,Can you read and write without assistance?,Can you see well eNough to read a whiteboard?,Are you filling this form out on a mobile phone?,"Are you, or is anyone you kNow well, currently on a jury or called for upcoming jury duty?",Are you currently a party to a civil lawsuit?,What is the zip code of your current residence?,Are you a registered voter?,Do you have a valid California driver's license?,What is your educational background?,Have you ever participated in a jury research project?,What is your age group?,Which of the following ethnic groups do you belong to?,What is your gender?,Are you married?,Which category fits your household income?,Do you have children?,Are you employed?,What is your occupation and who is your employer?,"Do you personally kNow anyone who works in the news or other media (online, TV, radio, newspapers, or other)?","On political issues, how would you rate yourself?","On ecoNomic issues, how would you rate yourself?","On social issues, how would you rate yourself?","""There are too many lawsuits.""","""Jury awards are too large.""","""Lawsuits cost us all too much.""",Availability
,Gene Linda Nwafor,Gene.nwafor@gmail.com,Yes,some,Yes,Yes,Yes,Yes,Yes,Yes,94080,Yes,Yes,Less than 9th grade.,Yes,18-29,Black or African American.,Male,Yes,"Less than $35,000 per year.",Yes,Yes - full time,some,Yes,1,1,1,1,1,1,10:00 am - 12:00 pm
,Lynnette Larsen,Lontheroad@yahoo.com,Yes,some,Yes,Yes,Yes,Yes,Yes,Yes,94081,Yes,Yes,High school graduate (includes equivalency).,Yes,30-39,American Indian or Alaska Native.,Male,Yes,"$35,000 to $75,000 per year.",Yes,Yes - full time,some,Yes,1,1,1,1,1,1,10:00 am - 12:00 pm
,ashish chadha,achadha33@yahoo.com,No,some,No,No,No,No,No,No,94082,No,No,"9th to 12 grade, no diploma.",No,40-49,Asian.,Male,No,"$75,000 to $100,000 per year.",No,Yes - full time,some,No,2,2,2,2,2,2,1:00 pm - 3:00 pm
,Carolina LozaNo,karolamaya@msn.com,No,some,No,No,No,No,No,No,94083,No,No,"Some college, no degree.",No,50-59,Native Hawaiian and Other Pacific Islander.,Male,No,"$100,000 to $150,000 per year.",No,Yes - part time,some,No,3,3,3,3,3,3,1:00 pm - 3:00 pm
,Carolina LozaNo,karolamaya@msn.com,No,some,No,No,No,No,No,No,94083,No,No,"Some college, no degree.",No,50-59,Native Hawaiian and Other Pacific Islander.,Male,No,"$100,000 to $150,000 per year.",No,Yes - part time,some,No,3,3,3,3,3,3,1:00 pm - 3:00 pm
,Carolina LozaNo,karolamaya@msn.com,No,some,No,No,No,No,No,No,94083,No,No,"Some college, no degree.",No,50-59,Native Hawaiian and Other Pacific Islander.,Male,No,"$100,000 to $150,000 per year.",No,Yes - part time,some,No,3,3,3,3,3,3,1:00 pm - 3:00 pm
,Diane Salazar,salazardiane@comcast.net,Yes,some,Yes,Yes,Yes,Yes,Yes,Yes,94084,Yes,Yes,Associate's degree.,Yes,60-69,White (Not Hispanic or Latino).,Female,Yes,"$150,000 to $200,000 per year.",Yes,Yes - part time,some,Yes,4,4,4,4,4,4,10:00 am - 12:00 pm
,Bethany Smith,Bethahnee_smith@yahoo.com,Yes,some,Yes,Yes,Yes,Yes,Yes,Yes,94085,Yes,Yes,Bachelor's degree.,Yes,70-79,Hispanic or Latino.,Female,Yes,"$150,000 to $200,000 per year.",Yes,Yes - part time,some,Yes,5,5,5,5,5,5,10:00 am - 12:00 pm
,Adrian Franklin,ajf1029@yahoo.com,No,some,No,No,No,No,No,No,94086,No,No,Graduate or professional degree.,No,80 years and over.,Some other race.,Female,No,"More than $200,000 per year.",No,No,some,No,5,5,5,5,5,5,1:00 pm - 3:00 pm
,Laurette Spanglet,e.laurette@gmail.com,No,some,No,No,No,No,No,No,94087,No,No,Graduate or professional degree.,No,80 years and over.,Some other race.,Prefer Not to say,No,"More than $200,000 per year.",No,No,some,No,5,5,5,5,5,5,"10:00 am - 12:00 pm, 1:00 pm - 3:00 pm"
